File name,Stress Value,bracket
unitcell_row_0001.png,2820.04,2
unitcell_row_0002.png,2835.59,2
unitcell_row_0003.png,3572.94,3
unitcell_row_0004.png,655.36,0
unitcell_row_0005.png,3230.03,2
unitcell_row_0006.png,3200.38,2
unitcell_row_0007.png,2677.09,2
unitcell_row_0008.png,2749.12,2
unitcell_row_0009.png,2922.42,2
unitcell_row_0010.png,3389.46,2
unitcell_row_0011.png,3215.98,2
unitcell_row_0012.png,3404.66,2
unitcell_row_0013.png,3208.26,2
unitcell_row_0014.png,2411.24,1
unitcell_row_0015.png,2862.93,2
unitcell_row_0016.png,3491.24,2
unitcell_row_0017.png,2839.35,2
unitcell_row_0018.png,3250.62,2
unitcell_row_0019.png,2382.68,1
unitcell_row_0020.png,3947.22,3
unitcell_row_0021.png,3485.84,2
unitcell_row_0022.png,3240.26,2
unitcell_row_0023.png,2765.58,2
unitcell_row_0024.png,2632.4,2
unitcell_row_0025.png,3128.46,2
unitcell_row_0026.png,2603.21,2
unitcell_row_0027.png,3439.39,2
unitcell_row_0028.png,3095.54,2
unitcell_row_0029.png,1782.77,1
unitcell_row_0030.png,2473.33,1
unitcell_row_0031.png,2693.44,2
unitcell_row_0032.png,3417.49,2
unitcell_row_0033.png,3034.02,2
unitcell_row_0034.png,2302.89,1
unitcell_row_0035.png,2795.74,2
unitcell_row_0036.png,2813.11,2
unitcell_row_0037.png,1623.92,1
unitcell_row_0038.png,3883.06,3
unitcell_row_0039.png,1518.66,1
unitcell_row_0040.png,3310.78,2
unitcell_row_0041.png,2889.78,2
unitcell_row_0042.png,3189.03,2
unitcell_row_0043.png,3451.5,2
unitcell_row_0044.png,2627.99,2
unitcell_row_0045.png,2225.53,1
unitcell_row_0046.png,3037.06,2
unitcell_row_0047.png,3681.33,3
unitcell_row_0048.png,3318.42,2
unitcell_row_0049.png,3096.6,2
unitcell_row_0050.png,2681.22,2
unitcell_row_0051.png,3210.1,2
unitcell_row_0052.png,2829.16,2
unitcell_row_0053.png,2471.69,1
unitcell_row_0054.png,3360.63,2
unitcell_row_0055.png,3344.23,2
unitcell_row_0056.png,3225.36,2
unitcell_row_0057.png,3096.1,2
unitcell_row_0058.png,4049.01,3
unitcell_row_0059.png,3011.83,2
unitcell_row_0060.png,2869.51,2
unitcell_row_0061.png,3483.13,2
unitcell_row_0062.png,2960.14,2
unitcell_row_0063.png,3043.33,2
unitcell_row_0064.png,2956.55,2
unitcell_row_0065.png,2539.91,2
unitcell_row_0066.png,2890.66,2
unitcell_row_0067.png,3144.79,2
unitcell_row_0068.png,3519.0,3
unitcell_row_0069.png,1294.49,0
unitcell_row_0070.png,2784.89,2
unitcell_row_0071.png,2699.72,2
unitcell_row_0072.png,2878.83,2
unitcell_row_0073.png,3370.83,2
unitcell_row_0074.png,3305.96,2
unitcell_row_0075.png,3678.83,3
unitcell_row_0076.png,2936.9,2
